,y_true,y_pred
0,3,2
1,2,2
2,2,4
3,4,4
4,4,3
5,5,2
6,3,3
7,3,3
8,0,0
9,4,0
10,0,3
11,5,5
12,0,4
13,0,0
14,4,4
15,3,3
16,3,3
17,0,4
18,0,0
19,0,0
20,0,0
21,3,3
22,2,2
23,3,2
24,4,3
25,2,2
26,0,0
27,3,2
28,0,0
29,2,2
30,4,0
31,4,3
32,0,0
33,3,4
34,0,0
35,2,2
36,4,4
37,3,3
38,3,2
39,4,3
40,4,2
41,0,0
42,0,0
43,0,0
44,3,3
45,0,0
46,5,0
47,3,2
48,4,4
49,2,2
50,5,3
51,5,4
52,1,1
53,2,2
54,3,3
55,4,4
56,5,5
57,3,3
58,2,2
59,0,4
60,0,1
61,3,3
62,0,0
63,2,3
64,3,3
65,2,2
66,0,3
67,0,0
68,4,4
69,3,3
70,5,3
71,4,4
72,0,4
73,3,3
74,5,5
75,4,0
76,0,3
77,4,5
78,0,0
79,3,3
80,4,4
81,3,3
82,0,0
83,0,0
84,4,2
85,5,4
86,3,3
87,3,3
88,5,5
89,5,5
90,2,2
91,4,2
92,4,3
93,0,0
94,0,5
95,4,4
96,5,4
97,0,0
98,0,0
99,2,2
100,5,0
101,0,5
102,5,5
103,3,3
104,4,2
105,1,1
106,0,5
107,5,2
108,3,4
109,4,0
110,4,4
111,0,2
112,0,0
113,4,4
114,2,2
115,0,0
116,4,4
117,2,2
118,5,4
119,5,5
120,3,4
121,0,4
122,5,5
123,2,2
124,4,4
125,2,2
126,4,4
127,3,3
128,3,3
129,0,0
130,2,2
131,3,2
132,0,3
133,3,0
134,3,3
135,3,3
136,3,2
137,0,0
138,3,3
139,3,3
140,4,4
141,2,2
142,4,4
143,4,2
144,0,0
145,1,2
146,3,3
147,2,2
148,4,4
149,0,3
150,2,2
151,3,3
152,2,2
153,5,5
154,0,0
155,0,0
156,4,3
157,0,3
158,3,3
159,2,4
160,0,0
161,2,2
162,4,4
163,4,4
164,0,3
165,3,3
166,0,0
167,2,2
168,3,3
169,0,0
170,2,2
171,4,4
172,0,0
173,0,0
174,3,4
175,2,2
176,3,3
177,4,4
178,0,0
179,1,1
180,4,4
181,2,2
182,0,0
183,4,4
184,2,2
185,0,0
186,4,1
187,0,0
188,3,3
189,0,0
190,2,2
191,0,0
192,5,4
193,0,2
194,5,5
195,2,2
196,2,2
197,0,3
198,3,2
199,0,3
200,2,2
201,3,4
202,2,2
203,4,3
204,0,0
205,0,0
206,3,5
207,2,2
208,5,5
209,0,0
210,4,4
211,4,3
212,5,5
213,2,2
214,2,2
215,3,3
216,2,2
217,4,4
218,3,3
219,0,5
220,4,4
221,4,0
222,0,0
223,0,0
224,5,4
