,y_train_true,y_train_pred
0,3,3
1,4,4
2,5,5
3,0,0
4,2,2
5,3,3
6,4,4
7,4,4
8,0,0
9,0,0
10,3,3
11,3,3
12,4,5
13,4,4
14,4,4
15,0,0
16,5,5
17,0,0
18,3,3
19,1,1
20,0,0
21,2,2
22,3,3
23,0,0
24,2,2
25,0,0
26,3,3
27,4,4
28,3,3
29,5,5
30,0,0
31,0,0
32,0,0
33,0,0
34,3,3
35,4,4
36,4,4
37,2,2
38,5,5
39,2,2
40,5,4
41,0,0
42,0,0
43,2,2
44,0,0
45,4,4
46,0,1
47,0,2
48,4,4
49,0,0
50,1,1
51,0,0
52,4,4
53,4,4
54,4,2
55,4,1
56,3,3
57,0,0
58,0,0
59,4,4
60,0,0
61,0,0
62,5,2
63,4,4
64,0,0
65,2,2
66,5,5
67,4,4
68,2,0
69,0,0
70,0,2
71,0,0
72,4,4
73,3,3
74,3,3
75,3,3
76,2,2
77,3,3
78,2,2
79,3,3
80,3,3
81,2,2
82,5,5
83,4,1
84,3,3
85,3,3
86,2,2
87,0,0
88,4,4
89,0,0
90,3,3
91,0,0
92,0,0
93,3,3
94,4,4
95,2,1
96,0,0
97,5,5
98,4,4
99,0,0
100,0,0
101,3,3
102,3,3
103,2,2
104,0,0
105,0,4
106,5,5
107,0,0
108,3,3
109,3,3
110,4,4
111,2,2
112,5,5
113,4,4
114,0,0
115,4,4
116,3,3
117,2,2
118,2,2
119,2,2
120,4,4
121,0,0
122,0,0
123,2,2
124,2,2
125,0,0
126,2,2
127,2,2
128,1,1
129,2,2
130,3,3
131,0,0
132,0,2
133,4,4
134,2,2
135,4,3
136,4,4
137,0,0
138,3,3
139,4,4
140,3,3
141,4,4
142,2,2
143,4,4
144,3,3
145,5,5
146,0,0
147,4,1
148,4,4
149,3,3
150,3,3
151,0,0
152,3,3
153,4,4
154,2,2
155,5,5
156,4,4
157,3,3
158,4,4
159,5,5
160,4,4
161,3,3
162,2,2
163,4,4
164,4,4
165,3,3
166,3,3
167,4,4
168,2,2
169,0,0
170,3,3
171,0,0
172,0,0
173,3,3
174,0,0
175,4,4
176,4,4
177,4,4
178,4,4
179,4,4
180,0,0
181,3,3
182,3,3
183,0,0
184,0,0
185,5,5
186,4,2
187,0,0
188,0,0
189,0,0
190,3,0
191,2,2
192,0,4
193,3,4
194,5,5
195,0,0
196,0,0
197,4,4
198,1,1
199,3,3
200,3,3
201,4,4
202,3,3
203,5,5
204,3,3
205,0,0
206,5,5
207,4,4
208,4,4
209,0,0
210,2,2
211,3,3
212,0,0
213,0,0
214,4,3
215,0,0
216,3,3
217,0,0
218,4,4
219,4,4
220,0,0
221,4,4
222,3,3
223,0,1
224,0,0
225,4,4
226,4,4
227,4,4
228,0,0
